Intro to Web Site Dev,10747,23,Cohen 101,Erickson
Intro to Web Site Dev,11154,33,Lafayette L111,Erickson
Intro to Web Site Dev,12548,30,Lafayette L210,Erickson
Intro to Web Site Dev,12301,30,Online,Erickson
Programming Engr: MATLAB,10921,58,Kalkin 003,Dasari
Programming Engr: MATLAB,10922,37,Kalkin 004,Levy
Programming Engr: MATLAB,12295,43,Kalkin 001,Dasari
Programming Engr: MATLAB,12296,59,Kalkin 001,Dasari
Comp Prog I: Python Green,10691,51,L/L Commons 216,Eddy
Comp Prog I: Python Gold,12225,47,Votey 209,Cafiero
Comp Prog I: Python Green,11034,55,L/L Commons 216,Eddy
Comp Prog I: Python Gold,12297,47,Votey 209,Cafiero
Comp Prog I: Python Gold,12777,40,Online,Eddy
Discrete Structures,11163,32,Hills 017,Marthaler
Discrete Structures,12222,35,Hills 017,Levin
Discrete Structures,13082,35,Aiken 102,Levin
Intro to Data Science,14564,17,Hills 017,Weaver
Intro to Data Science,14564,11,Votey 209,Weaver
Intermediate Programming,10748,44,Innovation E204,Horton
Intermediate Programming,12298,35,Innovation E204,Horton
Intermediate Programming,13730,32,Votey 307,Horton
Intermediate Programming,14934,41,Innovation E204,Horton
Advanced Programming: C++,12779,47,Innovation E204,Dion
Advanced Programming: C++,12780,40,Innovation E204,Dion
Computer Organization,12299,27,Kalkin 002,Eddy
Computer Organization,13084,43,Kalkin 004,Eddy
Data Struc & Algorithms,10622,39,Votey 254,Dion
Data Struc & Algorithms,13086,40,Perkin 003,Dion
Computability & Complexity,11039,45,Billings MLK,Dasari
Computability & Complexity,13087,28,Jeffords 127,Dasari
Advanced Web Design,12302,31,Votey 254,Erickson
Cybersecurity Defense,13088,40,Online,Eddy
Operating Systems,13732,42,Lafayette L403,Hibbeler
Compiler Construction,15417,30,Votey 207,Near
Software Engineering,10694,40,Votey 209,Hibbeler
Software Engineering,12941,39,Votey 209,Hibbeler
Evolutionary Robotics,11040,59,Innovation E430,Bongard
Computer Architecture,10231,27,Cohen 101,Ling
Algorithm Design & Analysis,10232,39,Kalkin 325,Lee
Algorithm Design & Analysis,13865,40,Kalkin 325,Lee
Programming Languages,12781,36, Aiken 102,Darais
Machine Learning,14940,21,Waterman 400,Wshah
Data Science I,15317,17,Marsh Life Science 107,Bagrow
Data Science II,14250,9,Marsh Life Science 107,Bagrow
